tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
162,60,40,221,202,158,196,0,0,30,1945,135321,196,204,397,1549,54,4074,8688,4003,8877,4220,4093
163,58,42,220,202,160,196,0,0,28,519,168905,197,203,397,1549,54,4344,8713,4148,8925,4221,4094
164,58,42,220,200,160,200,0,0,28,259725,88,197,203,397,1549,54,4421,8771,4382,8956,4221,4096
165,58,42,220,198,160,204,0,0,28,331128,43,197,203,397,1549,54,4574,8812,4501,9006,4223,4096
166,58,42,220,198,160,204,0,0,28,361235,45,196,204,397,1549,54,4604,8870,4691,9055,4224,4097
167,58,42,220,197,160,206,0,0,29,363599,62,195,205,397,1549,54,4025,9078,4069,9255,4225,4098
168,58,42,217,196,166,208,0,0,29,352286,44,195,205,397,1549,54,4231,9113,4312,9287,4225,4100
169,58,42,216,195,168,210,0,0,29,339062,43,195,205,397,1549,54,4400,9136,4444,9339,4226,4101
170,58,42,215,193,170,214,0,0,29,334558,44,197,203,397,1549,54,4553,9189,4573,9379,4226,4103
171,58,42,213,191,174,218,0,0,30,78596,34102,197,203,397,1548,55,4706,9242,4644,9433,4226,4105
172,58,42,213,191,174,218,0,0,30,21169,67953,197,203,397,1548,55,4021,9471,4087,9624,4228,4105
173,56,44,212,191,176,218,0,0,28,276187,71,198,202,397,1548,55,4321,9486,4232,9678,4229,4106
174,56,44,212,190,176,220,0,0,28,348617,46,199,201,395,1550,55,4427,9540,4481,9698,4229,4108
175,56,44,211,190,178,220,0,0,28,356997,44,197,203,395,1550,55,4546,9587,4592,9755,4229,4110
176,56,44,211,190,178,220,0,0,28,350894,52,197,203,395,1550,55,4643,9637,4643,9827,4230,4111
177,56,44,211,190,178,220,0,0,28,354367,44,198,202,395,1550,55,3967,9863,4013,10039,4231,4112
178,56,44,210,188,180,224,0,0,28,359994,44,199,201,395,1550,55,4202,9886,4222,10070,4232,4113
179,56,44,210,188,180,224,0,0,28,354316,48,201,199,395,1550,55,4336,9933,4417,10110,4232,4114
180,56,44,210,187,180,226,0,0,28,366787,51,202,198,395,1550,55,4470,10000,4546,10141,4232,4115
181,56,44,209,185,182,230,0,0,29,353362,45,202,198,395,1550,55,4615,10053,4646,10191,4233,4115
182,56,44,209,184,182,232,0,0,29,347764,52,204,196,395,1550,55,3988,10269,4080,10378,4233,4116
183,56,44,209,183,182,234,0,0,30,350091,47,204,196,395,1550,55,4230,10309,4257,10411,4234,4116
184,56,44,208,183,184,234,0,0,30,84065,32453,204,196,394,1551,55,4408,10347,4410,10456,4234,4117
185,56,44,208,181,184,238,0,0,31,22504,62939,204,196,394,1551,55,4576,10407,4572,10479,4235,4117
186,56,44,207,181,186,238,0,0,31,6049,97101,203,197,394,1551,55,4724,10462,4655,10533,4235,4118
187,56,44,205,181,190,238,0,0,31,1517,129770,205,195,394,1551,55,4065,10685,4023,10754,4235,4119
188,56,44,203,181,194,238,0,0,31,481,163350,205,195,394,1551,55,4265,10724,4307,10784,4235,4120
189,56,44,203,180,194,240,0,0,31,188,195679,205,195,394,1550,56,4358,10804,4484,10803,4235,4121
190,56,44,202,178,196,244,0,0,31,97,228862,205,195,393,1551,56,4579,10839,4531,10876,4236,4121
191,54,46,202,177,196,246,0,0,29,70,263739,204,196,393,1551,56,4658,10889,4589,10946,4236,4122
192,54,46,199,176,202,248,0,0,29,276685,170,203,197,393,1549,58,3983,11112,4035,11130,4236,4123
193,54,46,199,176,202,248,0,0,29,323992,42,203,197,393,1549,58,4255,11126,4400,11133,4237,4123
194,54,46,199,176,202,248,0,0,29,342669,49,204,196,393,1548,59,4444,11164,4502,11191,4237,4124
195,54,46,198,176,204,248,0,0,30,357669,43,206,194,393,1548,59,4566,11206,4642,11243,4238,4124
196,54,46,198,176,204,248,0,0,30,97692,32060,206,194,393,1548,59,4623,11266,4768,11291,4238,4125
197,54,46,197,175,206,250,0,0,31,24045,65892,206,194,393,1548,59,4036,11474,3972,11542,4239,4125
198,54,46,196,175,208,250,0,0,31,6298,98084,205,195,391,1550,59,4214,11493,4281,11571,4240,4125
199,54,46,195,174,210,252,0,0,31,1554,130758,205,195,391,1550,59,4441,11530,4448,11609,4241,4125
200,54,46,195,173,210,254,0,0,31,451,165308,205,195,391,1550,59,4569,11589,4599,11639,4241,4126
201,53,47,195,172,210,256,0,0,30,167,197741,205,195,391,1550,59,4685,11652,4773,11660,4242,4126
202,53,47,195,172,210,256,0,0,30,102,232452,205,195,391,1550,59,4101,11849,4099,11876,4243,4126
203,51,49,194,172,212,256,0,0,28,261906,144,205,195,391,1550,59,4310,11893,4309,11891,4244,4126
204,51,49,193,170,214,260,0,0,28,318746,43,205,195,391,1550,59,4460,11925,4518,11926,4244,4127
205,51,49,192,169,216,262,0,0,28,338798,47,206,194,391,1550,59,4540,11973,4663,11986,4244,4128
206,51,49,192,167,216,266,0,0,28,360040,46,205,195,391,1550,59,4652,12014,4754,12049,4244,4129
207,51,49,192,167,216,266,0,0,29,361049,48,206,194,391,1550,59,4021,12242,4064,12261,4244,4130
208,51,49,192,166,216,268,0,0,29,340764,47,206,194,391,1550,59,4249,12273,4219,12312,4244,4131
209,51,49,190,165,220,270,0,0,30,84755,34946,207,193,391,1550,59,4379,12311,4442,12348,4245,4131
210,51,49,189,165,222,270,0,0,30,22565,67368,205,195,391,1550,59,4571,12351,4584,12390,4246,4131
211,50,50,189,165,222,270,0,0,29,274229,58,205,195,391,1550,59,4689,12402,4659,12441,4246,4132
212,50,50,189,165,222,270,0,0,29,335729,52,206,194,391,1550,59,4083,12598,3989,12669,4247,4132
213,50,50,189,164,222,272,0,0,30,358746,43,206,194,391,1550,59,4314,12617,4279,12685,4247,4133
214,50,50,189,163,222,274,0,0,30,89011,34863,207,193,391,1550,59,4414,12659,4422,12749,4248,4133
215,50,50,189,162,222,276,0,0,30,23262,67977,207,193,390,1551,59,4577,12698,4494,12813,4248,4134
216,50,50,189,162,222,276,0,0,30,6267,100690,209,191,390,1550,60,4692,12745,4577,12875,4248,4135
217,50,50,189,162,222,276,0,0,30,1501,131177,209,191,390,1550,60,4115,12938,4040,13063,4248,4136
218,50,50,189,161,222,278,0,0,30,386,162382,209,191,389,1551,60,4375,12958,4252,13102,4248,4137
219,48,52,186,161,228,278,0,0,28,147,194732,209,191,389,1551,60,4468,13021,4396,13146,4248,4138
220,48,52,185,161,230,278,0,0,28,283332,126,210,190,389,1551,60,4674,13074,4518,13170,4248,4139
221,48,52,183,161,234,278,0,0,28,345281,47,210,190,389,1551,60,4682,13140,4681,13206,4249,4139
222,48,52,182,160,236,280,0,0,28,357804,46,210,190,389,1551,60,4110,13339,4096,13403,4249,4140
223,48,52,180,159,240,282,0,0,29,350426,45,210,190,389,1551,60,4252,13387,4351,13436,4250,4140
224,48,52,177,159,246,282,0,0,29,346269,47,209,191,389,1551,60,4506,13401,4454,13493,4250,4141
225,48,52,177,159,246,282,0,0,30,80361,35444,210,190,388,1552,60,4562,13466,4653,13520,4250,4142
226,48,52,176,159,248,282,0,0,30,19994,69517,211,189,388,1552,60,4620,13536,4742,13572,4250,4143
227,48,52,175,158,250,284,0,0,30,5388,105288,211,189,388,1552,60,4101,13719,4042,13801,4250,4144
228,48,52,175,158,250,284,0,0,30,1461,139866,211,189,388,1552,60,4324,13752,4291,13817,4250,4145
229,46,54,175,158,250,284,0,0,28,430,173049,212,188,388,1552,60,4462,13802,4481,13839,4251,4145
230,46,54,175,156,250,288,0,0,28,258910,105,212,188,388,1552,60,4633,13832,4631,13889,4252,4145
231,46,54,174,156,252,288,0,0,28,313251,46,212,188,388,1552,60,4714,13895,4701,13956,4252,4146
232,46,54,174,156,252,288,0,0,28,364455,43,212,188,388,1552,60,4084,14114,4059,14162,4252,4147
233,46,54,172,156,256,288,0,0,28,357045,43,212,188,388,1552,60,4376,14138,4265,14184,4253,4147
234,46,54,171,156,258,288,0,0,28,350385,47,211,189,388,1552,60,4501,14192,4488,14210,4254,4147
235,46,54,170,156,260,288,0,0,29,357632,38,210,190,388,1552,60,4546,14256,4641,14258,4255,4147
236,46,54,169,155,262,290,0,0,29,350846,46,210,190,388,1552,60,4744,14290,4706,14315,4255,4148
237,46,54,169,155,262,290,0,0,29,333082,46,210,190,388,1551,61,4120,14499,4074,14523,4256,4148
238,46,54,168,154,264,292,0,0,29,347103,46,210,190,388,1551,61,4318,14548,4260,14550,4257,4148
239,46,54,168,153,264,294,0,0,29,339364,39,209,191,388,1550,62,4405,14597,4432,14595,4257,4149
240,46,54,168,153,264,294,0,0,29,341589,49,210,190,388,1550,62,4568,14653,4573,14630,4257,4150
241,46,54,167,152,266,296,0,0,29,357489,43,210,190,388,1550,62,4630,14716,4735,14664,4257,4151
242,46,54,167,152,266,296,0,0,29,364714,41,211,189,388,1550,62,3932,14945,4067,14880,4257,4152
243,46,54,167,152,266,296,0,0,30,96173,33145,211,189,388,1550,62,4179,14965,4320,14904,4257,4153
244,46,54,167,152,266,296,0,0,30,23955,67142,211,189,388,1550,62,4354,15007,4497,14934,4258,4153
245,44,56,166,152,268,296,0,0,28,278919,78,211,189,388,1550,62,4522,15044,4651,14976,4258,4154
246,44,56,164,151,272,298,0,0,28,332730,50,211,189,388,1550,62,4628,15106,4695,15022,4258,4155
