tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
20,44,6,289,296,22,8,0,0,44,633,35169,50,0,300,0,0,0,0,0,0,0,0
21,42,8,289,295,22,10,0,0,42,529,36857,50,0,300,0,0,0,0,0,0,0,0
22,42,8,286,295,28,10,0,0,42,434,38227,50,0,300,0,0,0,0,0,0,0,0
23,40,10,284,292,32,16,0,0,40,380,39383,50,0,300,0,0,0,0,0,0,0,0
24,40,10,284,290,32,20,0,0,40,333,40698,50,0,300,0,0,0,0,0,0,0,0
25,38,12,282,288,36,24,0,0,38,276,42171,50,0,300,0,0,0,0,0,0,0,0
26,38,12,281,287,38,26,0,0,38,244,43491,50,0,300,0,0,0,0,0,0,0,0
27,36,14,281,287,38,26,0,0,36,205,44807,50,0,300,0,0,0,0,0,0,0,0
28,36,14,280,286,40,28,0,0,36,177,46472,50,0,300,0,0,0,0,0,0,0,0
29,34,16,278,285,44,30,0,0,34,149,48021,50,0,300,0,0,0,0,0,0,0,0
30,34,16,274,285,52,30,0,0,34,130,49259,50,0,300,0,0,0,0,0,0,0,0
31,33,17,274,283,52,34,0,0,33,112,50223,50,0,300,0,0,0,0,0,0,0,0
32,33,17,273,282,54,36,0,0,33,99,51250,50,0,300,0,0,0,0,0,0,0,0
33,33,17,272,282,56,36,0,0,33,90,52310,50,0,300,0,0,0,0,0,0,0,0
34,33,17,271,282,58,36,0,0,33,81,53787,50,0,300,0,0,0,0,0,0,0,0
35,33,17,270,280,60,40,0,0,33,77,55654,50,0,300,0,0,0,0,0,0,0,0
36,33,17,269,280,62,40,0,0,33,70,57253,50,0,300,0,0,0,0,0,0,0,0
37,32,18,268,279,64,42,0,0,32,67,58446,50,0,300,0,0,0,0,0,0,0,0
38,32,18,267,279,66,42,0,0,32,64,59872,50,0,300,0,0,0,0,0,0,0,0
39,30,20,267,278,66,44,0,0,30,57,60879,50,0,300,0,0,0,0,0,0,0,0
40,30,20,265,278,70,44,0,0,30,53,62272,50,0,300,0,0,0,0,0,0,0,0
41,29,21,263,276,74,48,0,0,29,5828,51215,50,0,300,0,0,0,0,0,0,0,0
42,29,21,261,274,78,52,0,0,29,11113,45203,50,0,300,0,0,0,0,0,0,0,0
43,28,22,261,272,78,56,0,0,28,13401,37997,50,0,300,0,0,0,0,0,0,0,0
44,28,22,261,270,78,60,0,0,28,17473,33119,50,0,300,0,0,0,0,0,0,0,0
45,28,22,258,268,84,64,0,0,28,21199,27640,50,0,300,0,0,0,0,0,0,0,0
46,28,22,256,266,88,68,0,0,28,23113,23775,50,0,300,0,0,0,0,0,0,0,0
47,27,23,253,265,94,70,0,0,27,25712,21034,50,0,300,0,0,0,0,0,0,0,0
48,27,23,249,263,102,74,0,0,27,25069,17849,50,0,300,0,0,0,0,0,0,0,0
49,25,25,248,262,104,76,0,0,25,24300,15440,50,0,300,0,0,0,0,0,0,0,0
50,25,25,248,261,104,78,0,0,25,25357,14065,50,0,300,0,0,0,0,0,0,0,0
51,25,25,247,260,106,80,0,0,25,29772,12990,50,0,300,0,0,0,0,0,0,0,0
52,25,25,244,258,112,84,0,0,25,27933,12173,50,0,300,0,0,0,0,0,0,0,0
53,25,25,242,258,116,84,0,0,26,29213,11813,50,0,300,0,0,0,0,0,0,0,0
54,25,25,242,254,116,92,0,0,26,30028,10680,50,0,300,0,0,0,0,0,0,0,0
55,25,25,241,251,118,98,0,0,26,28447,10158,50,0,300,0,0,0,0,0,0,0,0
56,25,25,239,251,122,98,0,0,26,30960,10012,50,0,300,0,0,0,0,0,0,0,0
57,25,25,239,248,122,104,0,0,27,31747,9543,50,0,300,0,0,0,0,0,0,0,0
58,25,25,238,245,124,110,0,0,27,31302,9387,50,0,300,0,0,0,0,0,0,0,0
59,25,25,237,244,126,112,0,0,28,29877,9004,50,0,300,0,0,0,0,0,0,0,0
60,25,25,236,243,128,114,0,0,28,29988,9221,50,0,300,0,0,0,0,0,0,0,0
61,25,25,233,243,134,114,0,0,29,31189,9311,50,0,300,0,0,0,0,0,0,0,0
62,25,25,231,243,138,114,0,0,29,30188,9770,50,0,300,0,0,0,0,0,0,0,0
63,25,25,231,242,138,116,0,0,29,31155,9769,50,0,300,0,0,0,0,0,0,0,0
64,25,25,231,242,138,116,0,0,29,32282,9570,50,0,300,0,0,0,0,0,0,0,0
65,25,25,231,242,138,116,0,0,29,34042,9668,50,0,300,0,0,0,0,0,0,0,0
66,25,25,231,240,138,120,0,0,29,33130,8864,50,0,300,0,0,0,0,0,0,0,0
